"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"795998","Émeline","K/Bidi","Réunion","Réunion","4","Avocate","Non inscrit","NI"
"796106","Édouard","Bénard","Normandie","Seine-Maritime","3","Collaborateur d'élu","Non inscrit","NI"
"719412","Sandrine","Le Feur","Bretagne","Finistère","4","Agriculteur-propriétaire exploitant","Non inscrit","NI"
"841553","Thierry","Tesson","Hauts-de-France","Nord","17","(74) - Ancien cadre","Non inscrit","NI"
"794946","Antoine","Villedieu","Bourgogne-Franche-Comté","Haute-Saône","1","Policier","Non inscrit","NI"
"794234","François","Gernigon","Pays de la Loire","Maine-et-Loire","1","Ancien cadre","Non inscrit","NI"
"610002","Eva","Sas","Ile-de-France","Paris","8","Cadre supérieur du secteur privé","Non inscrit","NI"
"796118","Bénédicte","Auzanot","Provence-Alpes-Côte d'Azur","Vaucluse","2","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"841713","Boris","Tavernier","Auvergne-Rhône-Alpes","Rhône","2","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"840903","Paul","Christophle","Auvergne-Rhône-Alpes","Drôme","1","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"795884","Marc","Ferracci","Français établis hors de France","Français établis hors de France","6","Professeur, profession scientifique","Non inscrit","NI"
"722336","Vincent","Thiébaut","Grand Est","Bas-Rhin","9","Autre cadre (secteur privé)","Non inscrit","NI"
"842271","Emmanuel","Maurel","Ile-de-France","Val-d'Oise","3","(34) - Professeur, profession scientifique","Non inscrit","NI"
"840075","Eddy","Casterman","Hauts-de-France","Aisne","3","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"841075","Sylvie","Josserand","Occitanie","Gard","6","(31) - Profession libérale","Non inscrit","NI"
"841605","Antoine","Golliot","Hauts-de-France","Pas-de-Calais","5","(47) - Technicien","Non inscrit","NI"
"677483","Stéphane","Mazars","Occitanie","Aveyron","1","Avocat","Non inscrit","NI"
"842187","Gabrielle","Cathala","Ile-de-France","Val-d'Oise","6","Secrétaire générale de groupe parlementaire","Non inscrit","NI"
"721410","Émilie","Bonnivard","Auvergne-Rhône-Alpes","Savoie","3","Cadre à la Caisse des Dépôts et Consignations","Non inscrit","NI"
"330909","Vincent","Descoeur","Auvergne-Rhône-Alpes","Cantal","1","Professeur agrégé de biologie","Non inscrit","NI"
"796062","Thomas","Portes","Ile-de-France","Seine-Saint-Denis","3","Cheminot","Non inscrit","NI"
"841351","Emmanuel","Duplessy","Centre-Val de Loire","Loiret","2","(33) - Cadre de la fonction publique","Non inscrit","NI"
"793520","Mickaël","Cosson","Bretagne","Côtes-d'Armor","1","Chargé d'opérations urbanisme","Non inscrit","NI"
"607553","Dominique","Potier","Grand Est","Meurthe-et-Moselle","5","Agriculteur","Non inscrit","NI"
"793094","Nicolas","Ray","Auvergne-Rhône-Alpes","Allier","3","Inspecteur principal des Finances publiques","Non inscrit","NI"
"840135","Alexandre","Dufosset","Hauts-de-France","Nord","18","(54) - Employé administratif d'entreprise","Non inscrit","NI"
"794786","Emmanuel","Fernandes","Grand Est","Bas-Rhin","2","Profession intermédiaire administrative et commerciale des entreprises","Non inscrit","NI"
"1654","François","Hollande","Nouvelle-Aquitaine","Corrèze","1","Conseiller référendaire à la Cour des comptes","Non inscrit","NI"
"793928","Edwige","Diaz","Nouvelle-Aquitaine","Gironde","11","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"719632","Sophie","Panonacle","Nouvelle-Aquitaine","Gironde","8","Sans profession déclarée","Non inscrit","NI"
"840809","Gérault","Verny","Provence-Alpes-Côte d'Azur","Bouches-du-Rhône","14","(23) - Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"796010","Frédéric","Maillot","Réunion","Réunion","6","Intervenant social","Non inscrit","NI"
"841563","Claire","Marais-Beuil","Hauts-de-France","Oise","1","Profession libérale","Non inscrit","NI"
"266793","Jean-Yves","Bony","Auvergne-Rhône-Alpes","Cantal","2","Exploitant agricole","Non inscrit","NI"
"794278","Xavier","Albertini","Grand Est","Marne","1","Profession libérale","Non inscrit","NI"
"267200","Sébastien","Huyghe","Hauts-de-France","Nord","5","Notaire","Non inscrit","NI"
"330008","Xavier","Breton","Auvergne-Rhône-Alpes","Ain","1","Cadre territorial","Non inscrit","NI"
"842117","Vincent","Jeanbrun","Ile-de-France","Val-de-Marne","7","(33) - Cadre de la fonction publique","Non inscrit","NI"
"607090","Jean-Pierre","Vigier","Auvergne-Rhône-Alpes","Haute-Loire","2","Fonctionnaire de catégorie A","Non inscrit","NI"
"721336","Blandine","Brocard","Auvergne-Rhône-Alpes","Rhône","5","Employée (secteur privé)","Non inscrit","NI"
"794598","Laurent","Jacobelli","Grand Est","Moselle","8","Profession de l'information, des arts et des spectacles","Non inscrit","NI"
"795422","Damien","Maudet","Nouvelle-Aquitaine","Haute-Vienne","1","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"719922","Lionel","Causse","Nouvelle-Aquitaine","Landes","2","Autre cadre (secteur privé)","Non inscrit","NI"
"721110","Nicole","Sanquer","Polynésie française","Polynésie Française","2","Professeur du secondaire et technique","Non inscrit","NI"
"793166","Jocelyn","Dessigny","Hauts-de-France","Aisne","5","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"795908","Yannick","Chenevard","Provence-Alpes-Côte d'Azur","Var","1","Profession libérale","Non inscrit","NI"
